RDC Debtors Ledger Excel Report                   ,,,,,,,,,,,,
,,,,,,,,,,,,
Customer Name      :  ,"ELITE CONTRACTORS (CHENNAI) PRIVATE LTD, - VIT",,,,,,,,,,,
Customer Number  : ,138847,,,,,,,,,,,
From Period             : ,01-Apr-24,,,,,,,,,,,
To Period                  : ,31-Mar-25,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Inv/ Receipt Date,Doc Type,Plant Name,Inv / Receipt Number,Ship To Address,Transaction Type,Due Date,GST Inv Number,Document Seq Number,Item Description,Quantity,Tran Dr Amt (Rs),Tran Cr Amt (Rs)
18-Apr-24,INV,Chennai-1 RMC Plant,2446310,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai SI,18-Apr-24,1CH24ARS539,2.4332E+12,M40,6,"38,232.00",0
18-Apr-24,INV,Chennai-Pudupakkam,2446311,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai-Pudup SI,18-Apr-24,9CH24ARS180,2.43321E+12,M40,7,"44,604.00",0
18-Apr-24,INV,Chennai-2 RMC Plant,2446315,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 2 SI,18-Apr-24,2CH24ARS577,2.4332E+12,M40 Grade of concrete,7,"44,604.00",0
18-Apr-24,INV,Chennai-Pudupakkam,2446324,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai-Pudup SI,18-Apr-24,9CH24ARS181,2.43321E+12,M40,7,"44,604.00",0
18-Apr-24,INV,Chennai-Pudupakkam,2446341,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai-Pudup SI,18-Apr-24,9CH24ARS182,2.43321E+12,M40,7,"44,604.00",0
18-Apr-24,INV,Chennai-2 RMC Plant,2446344,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 2 SI,18-Apr-24,2CH24ARS578,2.4332E+12,M40 Grade of concrete,7,"44,604.00",0
18-Apr-24,INV,Chennai-2 RMC Plant,2446350,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 2 SI,18-Apr-24,2CH24ARS579,2.4332E+12,M40 Grade of concrete,7,"44,604.00",0
18-Apr-24,INV,Chennai-3 RMC Plant,2446359,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 3 SI,18-Apr-24,3CH24ARS235,2.4332E+12,M40,7,"44,604.00",0
18-Apr-24,INV,Chennai-Pudupakkam,2446360,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai-Pudup SI,18-Apr-24,9CH24ARS183,2.43321E+12,M40,7,"44,604.00",0
18-Apr-24,INV,Chennai-2 RMC Plant,2446363,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 2 SI,18-Apr-24,2CH24ARS580,2.4332E+12,M40 Grade of concrete,7,"44,604.00",0
18-Apr-24,INV,Chennai-2 RMC Plant,2446376,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 2 SI,18-Apr-24,2CH24ARS581,2.4332E+12,M40 Grade of concrete,6,"38,232.00",0
18-Apr-24,INV,Chennai-Pudupakkam,2446390,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai-Pudup SI,18-Apr-24,9CH24ARS184,2.43321E+12,M40,10,"63,720.00",0
18-Apr-24,INV,Chennai-3 RMC Plant,2446396,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 3 SI,18-Apr-24,3CH24ARS236,2.4332E+12,M40,7,"44,604.00",0
18-Apr-24,INV,Chennai-2 RMC Plant,2446399,"Academic Block - VIT Chennai,,VIT University,,CHENNAI,Tamil Nadu,IN,600127",Chennai 2 SI,18-Apr-24,2CH24ARS582,2.4332E+12,M40 Grade of concrete,7,"44,604.00",0
